,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
871,7210,33553934050,18662,134966460,4653805,030720,20240115
870,350,33648462750,273187,96021082,96138465,000040,20240115
869,1744,33880670560,156796,272818612,19426990,019685,20240115
868,404,34286437276,60711,24562380,84867419,009310,20240115
867,1149,34375917582,58073,66664394,29918118,133820,20240115
866,1236,34464109824,82905,103175663,27883584,007120,20240115
865,583,34513159252,98478,57926524,59199244,044380,20240115
864,812,34795499200,42819,34496903,42851600,015020,20240115
863,47500,35714252500,568,27006400,751879,008775,20240115
862,6480,36021335040,4477,28916910,5558848,002420,20240115
861,1615,36274490775,725674,1186756519,22460985,014910,20240115
860,1244,37063723560,126840,156761352,29793990,002070,20240115
859,22150,37212000000,2158,47438600,1680000,000950,20240115
858,4900,37240000000,2351,11567670,7600000,001420,20240115
857,12930,37439707170,1053,13612290,2895569,084670,20240115
856,1360,37551264640,71886,97422772,27611224,019490,20240115
855,1821,37980267399,28817,51582427,20856819,084870,20240115
854,6140,38126422100,43968,271407650,6209515,003680,20240115
853,486,38288532168,0,0,78782988,005030,20240115
852,990,38342996010,452499,449825965,38730299,002880,20240115
851,2535,38852520330,25972,66659090,15326438,024070,20240115
850,2250,39321956250,27,60810,17476425,003465,20240115
849,3150,39657772350,0,0,12589769,001140,20240115
848,1388,39842583028,88866,122699153,28705031,013000,20240115
847,18980,40121537300,4225,80921750,2113885,37550K,20240115
846,1983,40255613880,126692,252157232,20300360,002690,20240115
845,5290,40320380000,12753,67197780,7622000,010400,20240115
844,30250,41093263750,1754,52922500,1358455,006125,20240115
843,14770,41356000000,1904,28025860,2800000,000760,20240115
842,7840,41552000000,4460,34866790,5300000,001070,20240115
841,18400,42282648000,2630,48384130,2297970,005820,20240115
840,2810,42782250000,12071,34492415,15225000,006570,20240115
839,1397,43523252806,88368,122143171,31154798,093240,20240115
838,26000,43838990000,2057,52467100,1686115,000215,20240115
837,19970,43934000000,1119,22397430,2200000,019175,20240115
836,11110,44440000000,8982,100015680,4000000,034300,20240115
835,29000,45553113000,822199,25115679400,1570797,009140,20240115
834,3170,46362727220,9124,28836800,14625466,010770,20240115
833,2980,47084000000,16940,50513320,15800000,051630,20240115
832,984,47291801616,87585,86248618,48060774,145270,20240115
831,712,47872059768,464308,335605617,67236039,008600,20240115
830,1027,48066820672,2291658,2422340840,46803136,006200,20240115
829,1775,48320521475,76263,135522729,27222829,012200,20240115
828,10100,48480000000,154836,1528543630,4800000,003535,20240115
827,1315,49571706225,2212225,3007246634,37697115,009190,20240115
826,759,50554255323,188471,143214318,66606397,005320,20240115
825,6870,50690473620,7062,48672700,7378526,023150,20240115
824,65700,50937867000,1078,71316600,775310,005305,20240115
823,1615,51680000000,664333,1077467907,32000000,033250,20240115
822,972,51899458860,133072,129072434,53394505,012280,20240115
821,24900,52587579900,3900,96332850,2111951,37550L,20240115
820,3995,52715838730,134294,533917715,13195454,072130,20240115
819,2125,52767961750,165598,348017555,24831982,002410,20240115
818,50600,53367465800,2298,116207100,1054693,000725,20240115
817,3820,53769365000,19604,74754825,14075750,006805,20240115
816,3000,54000000000,0,0,18000000,007610,20240115
815,3620,54061108960,30242,108860435,14934008,025530,20240115
814,1270,54838923850,0,0,43180255,091090,20240115
813,920,54894087120,39915,36695178,59667486,009460,20240115
812,27500,55000000000,588,16218200,2000000,134790,20240115
811,2220,55288409580,16071,35973170,24904689,090370,20240115
810,3560,55553436880,51815,185021005,15604898,123700,20240115
809,1751,56683855276,243284,430170461,32372276,023960,20240115
808,565,57240360180,84257,47566643,101310372,012160,20240115
807,405,57824832015,109316,44680551,142777363,118000,20240115
806,19370,58110000000,74,1433780,3000000,001275,20240115
805,521,58149692053,286562,149151659,111611693,004870,20240115
804,2900,58290000000,36963,106606460,20100000,357250,20240115
803,3500,58352840000,21124,74183460,16672240,005750,20240115
802,65400,58404685200,288,18929100,893038,000157,20240115
801,5860,58600000000,27886,162232060,10000000,010640,20240115
800,1302,58742195988,195453,256185822,45116894,015260,20240115
799,3115,58865111305,80300,249926460,18897307,005360,20240115
798,10760,58906362440,0,0,5474569,003560,20240115
797,2970,59459400000,16652,49377350,20020000,003080,20240115
796,796,59789944020,98421,78922562,75112995,014990,20240115
795,9330,60120374100,6676,62744870,6443770,002795,20240115
794,4735,60285769045,293806,1365041010,12731947,004440,20240115
793,4215,60696000000,13218,55684010,14400000,069730,20240115
792,34200,61041049200,1691,57880150,1784826,078935,20240115
791,3430,61740000000,175208,601389080,18000000,019180,20240115
790,20100,62109000000,8954,179926150,3090000,006980,20240115
789,24900,62249277900,1495,36909150,2499971,009770,20240115
788,22500,62276850000,6383,143203200,2767860,120115,20240115
787,3120,62400000000,10314,32262855,20000000,049800,20240115
786,3055,62638207775,34179,104139540,20503505,008420,20240115
785,3660,63019867380,13664,50300160,17218543,014710,20240115
784,1330,63141204700,354003,471814401,47474590,021050,20240115
783,2905,63549045035,25969,76369110,21875747,143210,20240115
782,4850,63867031000,16383,79444985,13168460,092780,20240115
781,5860,64167000000,77192,449446810,10950000,023350,20240115
780,30350,64203270150,3251,98732000,2115429,28513K,20240115
779,2410,64340878600,6302,15071895,26697460,002220,20240115
778,2350,64741663400,386519,902737775,27549644,011420,20240115
777,61800,65260800000,981,60792000,1056000,011390,20240115
776,6530,65300000000,6646,43454420,10000000,021820,20240115
775,2170,65331109340,13305,28823045,30106502,069640,20240115
774,588,65440302228,168884,99193876,111293031,001620,20240115
773,1271,65473964811,213357,272660387,51513741,020760,20240115
772,25500,65671399500,11273,289793200,2575349,009835,20240115
771,1334,65765893180,31384,41871173,49299770,009320,20240115
770,3260,65824195460,80618,264501405,20191471,071090,20240115
769,1477,66412039211,64133,94800192,44964143,001380,20240115
768,46700,66744574000,53,2474250,1429220,000650,20240115
767,336500,67300000000,1351,451508000,200000,003925,20240115
766,68300,68300000000,1196,81354800,1000000,008870,20240115
765,31100,68420000000,1974,61194750,2200000,000850,20240115
764,6470,68654561050,111079,727194330,10611215,446070,20240115
763,32050,69047846950,1285,41200150,2154379,004450,20240115
