,concept_id,label_ko,label_en,class0,class1,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
13,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220101-20221231,8057.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
14,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20210101-20211231,279604799000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
15,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20210101-20211231,166411342000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
16,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20210101-20211231,113193457000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
17,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20210101-20211231,61559601000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
18,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20210101-20211231,51633856000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
19,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20210101-20211231,39907450000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
20,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20210101-20211231,5777.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
21,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20200101-20201231,236806988000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
22,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20200101-20201231,144488296000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
23,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20200101-20201231,92318692000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
24,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20200101-20201231,56324816000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
25,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20200101-20201231,35993876000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
26,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20200101-20201231,26407832000000.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
27,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20200101-20201231,3841.0,20230307000542,사업보고서 (2022.12),20230307,20230307,005930,00126380,삼성전자
28,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
29,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
30,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
31,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
32,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
33,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
34,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",기본주당이익(손실),20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
35,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20230401-20230630,60005533000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
36,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20230401-20230630,41647190000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
37,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20230401-20230630,18358343000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
38,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20230401-20230630,17689796000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
39,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20230401-20230630,668547000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
40,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20230401-20230630,1723571000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
41,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20230401-20230630,228.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
42,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20230101-20230630,123750904000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
43,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20230101-20230630,87654283000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
44,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20230101-20230630,36096621000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
45,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20230101-20230630,34787896000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
46,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20230101-20230630,1308725000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
47,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20230101-20230630,3298171000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
48,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20230101-20230630,434.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
49,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20220401-20220630,77203607000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
50,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20220401-20220630,46269748000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
51,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20220401-20220630,30933859000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
52,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20220401-20220630,16836814000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
53,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20220401-20220630,14097045000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
54,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20220401-20220630,11098805000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
55,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220401-20220630,1613.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
56,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20220101-20220630,154985105000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
57,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20220101-20220630,93341805000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
58,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20220101-20220630,61643300000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
59,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20220101-20220630,33424846000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
60,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20220101-20220630,28218454000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
61,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20220101-20220630,22423433000000.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
62,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220101-20220630,3251.0,20230814002534,반기보고서 (2023.06),20230814,20230814,005930,00126380,삼성전자
63,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
64,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
65,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
66,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
67,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
68,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
69,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",기본주당이익(손실),20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
70,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20220401-20220630,77203607000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
71,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20220401-20220630,46269748000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
72,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20220401-20220630,30933859000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
73,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20220401-20220630,16836814000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
74,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20220401-20220630,14097045000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
75,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20220401-20220630,11098805000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
76,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220401-20220630,1613.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
77,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20220101-20220630,154985105000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
78,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20220101-20220630,93341805000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
79,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20220101-20220630,61643300000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
80,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20220101-20220630,33424846000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
81,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20220101-20220630,28218454000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
82,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20220101-20220630,22423433000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
83,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220101-20220630,3251.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
84,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20210401-20210630,63671585000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
85,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20210401-20210630,37065931000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
86,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20210401-20210630,26605654000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
87,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20210401-20210630,14038909000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
88,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20210401-20210630,12566745000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
89,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20210401-20210630,9634486000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
90,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20210401-20210630,1391.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
91,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20210101-20210630,129060088000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
92,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20210101-20210630,78565916000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
93,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20210101-20210630,50494172000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
94,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20210101-20210630,28544559000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
95,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20210101-20210630,21949613000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
96,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20210101-20210630,16776171000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
97,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20210101-20210630,2435.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자
98,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
99,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
100,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
101,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
102,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
103,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
104,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",기본주당이익(손실),20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
105,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20230101-20230331,63745371000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
106,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20230101-20230331,46007093000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
107,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20230101-20230331,17738278000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
108,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20230101-20230331,17098100000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
109,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20230101-20230331,640178000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
110,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20230101-20230331,1574600000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
111,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20230101-20230331,206.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
112,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),20220101-20220331,77781498000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
113,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,20220101-20220331,47072057000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
114,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,20220101-20220331,30709441000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
115,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,20220101-20220331,16588032000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
116,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,20220101-20220331,14121409000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
117,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),20220101-20220331,11324628000000.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
118,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],20220101-20220331,1638.0,20230515002335,분기보고서 (2023.03),20230515,20230515,005930,00126380,삼성전자
119,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
120,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
121,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자
